ID	author	Name	significant	significant direction	direction description	Delete	Country.of.Expirement	Size..n.	Industry.of.Participant	Gender	Nature.Type	Real.Exposure.Type	Exposure.Time..Mins.	Before_COVID	During_COVID	After_COVID	Field	Lab	Survey	Interviews	Stimuli_Visual	Stimuli_Auditory	Stimuli_Tactile	Stimuli_Olfactory	Stimuli_Thermal	Subjective	Objective	Row_ID	dep_var_1	dep_var_2	dep_var_3	dep_var_4	dep_var_5	dep_var_6	dep_var_7	dep_var_8	dep_var_9	assmnt_1	assmnt_2	assmnt_3	assmnt_4	assmnt_5	assmnt_6	assmnt_7	assmnt_8	assmnt_9	phys_assmnt_1	phys_assmnt_2	phys_assmnt_3	phys_assmnt_4	phys_assmnt_5	phys_assmnt_6	phys_assmnt_7	phys_assmnt_8	phys_assmnt_9	Column1	Column2	Column3	Column4	Column5
1	Ayuso Sanchez et al. (2018)	Quantitative improvement in workplace performance through biophilic design: A pilot experiment case study	yes	negative	Lower workload perception in environments with biophilic design	NA	Japan	8	Academia	Male	Real	Direct	60	1	0	0	0	1	0	0	1	0	0	0	0	1	1	91	Workload Perception	Fatigue	NA	NA	NA	NA	NA	NA	NA	NASA Task Load Index (NASA-TLX)	Jikaku-sho Shirabe Questionnaire	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
2	Basu et al. (2021)	Home gardens moderate the relationship between Covid-19-induced stay-at-home orders and mental distress: a case study with urban residents of India				NA	India	408	NA	Mixed	NA	NA	0	NA	NA	NA	0	0	1	0	NA	NA	NA	NA	NA	1	0	56	Mental Distress	Garden Interaction	NA	NA	NA	NA	NA	NA	NA	Depression Anxiety Stress Scale (DASS-21)	Self-reported survey on time spent working in home gardens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
3	Bergefurt et al. (2022)	Satisfaction with activity-support and physical home-workspace characteristics in relation to mental health during the COVID-19 pandemic				NA	Netherlands	1219	Office worker	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	94	Stress	Depressive Symptoms	Burnout (Exhaustion)	Burnout (Disengagement)	Sleep Quality	Hedonic Tone (Mood)	Tense Arousal (Mood)	Fatigue	Concentration	Patient Health Questionnaire-4 (PHQ-4)	Patient Health Questionnaire-4 (PHQ-4)	Oldenburg Burnout Inventory (OLBI)	Oldenburg Burnout Inventory (OLBI)	WHO Health at Work Survey	UWIST Mood Adjective Checklist	UWIST Mood Adjective Checklist	Checklist Individual Strength (CIS)	Checklist Individual Strength (CIS)	NA	NA	NA	NA	NA	NA	NA	NA	NA					
4	Beverly et al. (2022)	A tranquil virtual reality experience to reduce subjective stress among COVID-19 frontline healthcare workers	yes	negative	reduction	NA	United States	102	Healthcare	Mixed	Artificial/Virtual	Indirect	3	0	1	0	1	0	0	0	1	1	0	0	0	1	0	13	Subjective Stress	NA	NA	NA	NA	NA	NA	NA	NA	Visual Analogue Scale (VAS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
5	Bianchi et al. (2024)	Exploring the Connections Between Nature Exposure and Stress During COVID-19 Using Latent Profile Analysis				NA	United States	603	NA	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	42	Stress	Nature Exposure	NA	NA	NA	NA	NA	NA	NA	Perceived Stress Scale (PSS-10)	Self-reported indoor and outdoor nature exposure survey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
6	Bitterman and Simonov (2017)	"Multisensory design of pocket gardens for reducing stress and improving well-being, performance and satisfaction"	yes	positive		NA	Isreal	20	NA	Mixed	Both	Both	10	1	0	0	0	1	0	0	0	1	0	1	0	1	1	77	Stress Levels	Physiological Stress Response	NA	NA	NA	NA	NA	NA	NA	Paced Auditory Serial Addition Test (PASAT)	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Galvanic Skin Response (GSR), Heart Rate"	NA	NA	NA	NA	NA	NA	NA					
7	Boere et al. (2023)	Exercising is good for the brain but exercising outside is potentially better	yes	positive	"Faster reaction time post-walk, but only outdoors"	NA	Canada	30	Academia	Mixed	Real	Direct	15	1	0	0	1	1	0	0	1	0	0	0	0	1	1	41	Cognitive Function	Neural Activity (Attention)	NA	NA	NA	NA	NA	NA	NA	Visual Oddball Task	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalography (EEG)	NA	NA	NA	NA	NA	NA	NA					
8	Boffi et al. (2022)	"Visual post-occupancy evaluation of a restorative garden using virtual reality photography: Restoration, emotions, and behavior in older and younger people"				NA	Italy	321	NA	Mixed		Indirect	0	0	1	0	0	1	0	0	1	0	0	0	0	NA	NA	115	Perceived Restorativeness	Emotional State	Activities	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS-CH)	Self-Assessment Manikin (SAM)	"Predefined activity categories (interaction, contemplation, etc.)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
9	Cadogan et al. (2023)	"Watching a video of nature reduces negative affect and rumination, while positive affect is determined by the level of sensory processing sensitivity"	yes	both		NA	Ireland	147	NA	Mixed	Artificial/Virtual	Indirect	6	0	0	1	0	0	1	0	1	1	0	0	0	1	1	120	Positive and Negative Affect	Rumination	Executive Functioning	NA	NA	NA	NA	NA	NA	Positive and Negative Affect Schedule (PANAS)	Brief State Rumination Inventory (BSRI)	Stroop Color and Word Test (Stroop Task)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
10	Cartwright et al. (2018)	Nearby Nature ?Buffers? the Effect of Low Social Connectedness on Adult Subjective Wellbeing over the Last 7 Days	yes	positive	improvement	NA	United Kingdom	359	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	15	Subjective Wellbeing	Social Connectedness	Nature Exposure	NA	NA	NA	NA	NA	NA	World Health Organization Well-Being Index (WHO-5)	Single-item measure based on frequency of contact with friends/family	Self-reported Nearby Nature Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
11	Chen et al. (2020)	Attention restoration during environmental exposure via alpha-theta oscillations and synchronization	yes	positive	improvement	NA	China	32	Academia	Mixed	Real	Direct	20	1	0	0	0	1	0	0	1	0	0	0	0	1	1	12	Attention Fatigue	Subjective Fatigue	Restorativeness	Relaxed Attention	NA	NA	NA	NA	NA	Necker Cube Pattern Control Test (NCPCT)	Profile of Mood States (POMS)	Perceived Restorativeness Scale (PRS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalography	NA	NA	NA	NA	NA					
12	Chen et al. (2022)	Using Structural Equation Modeling to Examine Pathways Between Environmental Characteristics and Perceived Restorativeness on Public Rooftop Gardens in China				NA	China	876	NA	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	114	Perceived Restorativeness	Perceived Sensory Dimensions	NA	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS)	Perceived Sensory Dimensions (PSD) Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
